ID_MARCA;MARCA;ID_LINHA;LINHA;DATA_VENDA;QTD_VENDA
2;EUDORA;3;MAQUIAGEM;18/01/2018;9
3;QUEM DISSE BERENICE;4;SOLAR;15/09/2018;8
3;QUEM DISSE BERENICE;2;PERFUMARIA;13/01/2018;17
5;BELEZA NA WEB;3;MAQUIAGEM;11/07/2018;5
5;BELEZA NA WEB;5;HIDRATANTES;30/05/2018;3
2;EUDORA;2;PERFUMARIA;08/03/2018;13
3;QUEM DISSE BERENICE;3;MAQUIAGEM;01/05/2018;5
3;QUEM DISSE BERENICE;1;CABELOS;21/07/2018;14
5;BELEZA NA WEB;1;CABELOS;30/01/2018;4
1;BOTICÁRIO;4;SOLAR;18/12/2018;19
4;VULT;5;HIDRATANTES;16/05/2018;3
1;BOTICÁRIO;2;PERFUMARIA;30/10/2018;11
5;BELEZA NA WEB;4;SOLAR;10/04/2018;7
2;EUDORA;4;SOLAR;30/05/2018;15
5;BELEZA NA WEB;5;HIDRATANTES;28/04/2018;5
2;EUDORA;3;MAQUIAGEM;18/01/2018;19
5;BELEZA NA WEB;1;CABELOS;27/06/2018;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;01/10/2018;14
2;EUDORA;1;CABELOS;15/01/2018;6
4;VULT;3;MAQUIAGEM;28/10/2018;13
1;BOTICÁRIO;2;PERFUMARIA;14/10/2018;7
3;QUEM DISSE BERENICE;1;CABELOS;07/09/2018;12
3;QUEM DISSE BERENICE;5;HIDRATANTES;19/06/2018;19
3;QUEM DISSE BERENICE;3;MAQUIAGEM;28/07/2018;7
5;BELEZA NA WEB;3;MAQUIAGEM;17/02/2018;6
5;BELEZA NA WEB;1;CABELOS;26/05/2018;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/02/2018;20
4;VULT;5;HIDRATANTES;24/10/2018;18
3;QUEM DISSE BERENICE;2;PERFUMARIA;11/07/2018;12
3;QUEM DISSE BERENICE;1;CABELOS;07/12/2018;15
5;BELEZA NA WEB;1;CABELOS;17/05/2018;13
3;QUEM DISSE BERENICE;4;SOLAR;09/03/2018;19
1;BOTICÁRIO;4;SOLAR;31/03/2018;5
3;QUEM DISSE BERENICE;4;SOLAR;25/10/2018;9
3;QUEM DISSE BERENICE;4;SOLAR;27/06/2018;9
5;BELEZA NA WEB;2;PERFUMARIA;16/07/2018;14
4;VULT;1;CABELOS;06/10/2018;2
3;QUEM DISSE BERENICE;3;MAQUIAGEM;23/03/2018;16
4;VULT;2;PERFUMARIA;15/07/2018;3
4;VULT;4;SOLAR;13/02/2018;7
3;QUEM DISSE BERENICE;1;CABELOS;13/07/2018;20
3;QUEM DISSE BERENICE;3;MAQUIAGEM;09/05/2018;8
4;VULT;4;SOLAR;25/06/2018;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;26/04/2018;9
1;BOTICÁRIO;1;CABELOS;29/05/2018;6
3;QUEM DISSE BERENICE;5;HIDRATANTES;03/10/2018;7
2;EUDORA;5;HIDRATANTES;02/05/2018;3
5;BELEZA NA WEB;5;HIDRATANTES;20/01/2018;7
4;VULT;3;MAQUIAGEM;11/08/2018;6
5;BELEZA NA WEB;4;SOLAR;19/01/2018;2
3;QUEM DISSE BERENICE;1;CABELOS;14/06/2018;10
2;EUDORA;4;SOLAR;30/07/2018;5
2;EUDORA;4;SOLAR;16/02/2018;4
2;EUDORA;5;HIDRATANTES;31/07/2018;4
1;BOTICÁRIO;5;HIDRATANTES;06/09/2018;16
4;VULT;2;PERFUMARIA;03/03/2018;16
1;BOTICÁRIO;4;SOLAR;26/06/2018;12
4;VULT;4;SOLAR;07/10/2018;8
4;VULT;1;CABELOS;18/07/2018;17
1;BOTICÁRIO;3;MAQUIAGEM;07/03/2018;10
5;BELEZA NA WEB;5;HIDRATANTES;04/06/2018;5
4;VULT;1;CABELOS;15/12/2018;10
5;BELEZA NA WEB;2;PERFUMARIA;21/04/2018;9
3;QUEM DISSE BERENICE;2;PERFUMARIA;30/01/2018;11
2;EUDORA;2;PERFUMARIA;17/04/2018;3
4;VULT;2;PERFUMARIA;24/11/2018;4
4;VULT;2;PERFUMARIA;31/05/2018;3
2;EUDORA;4;SOLAR;13/08/2018;18
2;EUDORA;5;HIDRATANTES;17/12/2018;10
3;QUEM DISSE BERENICE;2;PERFUMARIA;25/04/2018;2
5;BELEZA NA WEB;2;PERFUMARIA;19/12/2018;11
1;BOTICÁRIO;4;SOLAR;28/11/2018;19
4;VULT;2;PERFUMARIA;28/01/2018;18
3;QUEM DISSE BERENICE;5;HIDRATANTES;22/10/2018;14
5;BELEZA NA WEB;4;SOLAR;21/05/2018;16
3;QUEM DISSE BERENICE;3;MAQUIAGEM;17/10/2018;8
5;BELEZA NA WEB;2;PERFUMARIA;02/07/2018;9
4;VULT;2;PERFUMARIA;14/12/2018;3
1;BOTICÁRIO;1;CABELOS;03/02/2018;1
5;BELEZA NA WEB;2;PERFUMARIA;16/07/2018;7
5;BELEZA NA WEB;1;CABELOS;09/05/2018;4
2;EUDORA;3;MAQUIAGEM;28/12/2018;4
5;BELEZA NA WEB;4;SOLAR;23/04/2018;17
3;QUEM DISSE BERENICE;2;PERFUMARIA;02/03/2018;8
2;EUDORA;4;SOLAR;25/12/2018;10
1;BOTICÁRIO;4;SOLAR;24/08/2018;20
4;VULT;2;PERFUMARIA;02/12/2018;7
4;VULT;1;CABELOS;22/11/2018;12
4;VULT;3;MAQUIAGEM;26/12/2018;16
5;BELEZA NA WEB;4;SOLAR;22/12/2018;15
3;QUEM DISSE BERENICE;5;HIDRATANTES;06/11/2018;8
4;VULT;2;PERFUMARIA;26/02/2018;1
1;BOTICÁRIO;1;CABELOS;01/01/2018;17
3;QUEM DISSE BERENICE;1;CABELOS;17/09/2018;16
3;QUEM DISSE BERENICE;3;MAQUIAGEM;20/11/2018;15
5;BELEZA NA WEB;3;MAQUIAGEM;13/11/2018;11
3;QUEM DISSE BERENICE;3;MAQUIAGEM;26/02/2018;20
1;BOTICÁRIO;4;SOLAR;21/08/2018;16
1;BOTICÁRIO;3;MAQUIAGEM;08/02/2018;5
4;VULT;3;MAQUIAGEM;10/05/2018;9
3;QUEM DISSE BERENICE;3;MAQUIAGEM;01/02/2018;18
4;VULT;4;SOLAR;06/05/2018;7
1;BOTICÁRIO;2;PERFUMARIA;29/03/2018;14
3;QUEM DISSE BERENICE;4;SOLAR;27/05/2018;20
1;BOTICÁRIO;5;HIDRATANTES;12/07/2018;20
1;BOTICÁRIO;1;CABELOS;02/05/2018;13
3;QUEM DISSE BERENICE;1;CABELOS;25/09/2018;17
5;BELEZA NA WEB;1;CABELOS;06/09/2018;8
4;VULT;1;CABELOS;31/01/2018;6
3;QUEM DISSE BERENICE;4;SOLAR;04/04/2018;2
3;QUEM DISSE BERENICE;2;PERFUMARIA;31/05/2018;12
5;BELEZA NA WEB;3;MAQUIAGEM;22/08/2018;2
1;BOTICÁRIO;3;MAQUIAGEM;26/11/2018;11
3;QUEM DISSE BERENICE;3;MAQUIAGEM;06/07/2018;7
5;BELEZA NA WEB;1;CABELOS;18/04/2018;15
4;VULT;1;CABELOS;04/01/2018;5
5;BELEZA NA WEB;4;SOLAR;24/10/2018;17
2;EUDORA;2;PERFUMARIA;15/07/2018;5
5;BELEZA NA WEB;3;MAQUIAGEM;01/05/2018;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;05/08/2018;7
1;BOTICÁRIO;3;MAQUIAGEM;15/12/2018;7
4;VULT;1;CABELOS;09/04/2018;17
4;VULT;4;SOLAR;11/07/2018;16
1;BOTICÁRIO;2;PERFUMARIA;23/03/2018;2
1;BOTICÁRIO;3;MAQUIAGEM;22/06/2018;9
1;BOTICÁRIO;1;CABELOS;24/01/2018;11
1;BOTICÁRIO;5;HIDRATANTES;20/02/2018;4
1;BOTICÁRIO;5;HIDRATANTES;25/11/2018;7
3;QUEM DISSE BERENICE;3;MAQUIAGEM;02/03/2018;1
3;QUEM DISSE BERENICE;4;SOLAR;10/08/2018;20
3;QUEM DISSE BERENICE;1;CABELOS;14/11/2018;1
2;EUDORA;4;SOLAR;07/05/2018;1
1;BOTICÁRIO;5;HIDRATANTES;01/07/2018;11
5;BELEZA NA WEB;3;MAQUIAGEM;09/08/2018;19
1;BOTICÁRIO;2;PERFUMARIA;28/01/2018;2
2;EUDORA;1;CABELOS;13/04/2018;7
4;VULT;2;PERFUMARIA;03/07/2018;2
5;BELEZA NA WEB;2;PERFUMARIA;21/09/2018;16
5;BELEZA NA WEB;5;HIDRATANTES;03/12/2018;18
1;BOTICÁRIO;1;CABELOS;15/01/2018;5
2;EUDORA;2;PERFUMARIA;08/05/2018;2
5;BELEZA NA WEB;2;PERFUMARIA;29/01/2018;3
2;EUDORA;2;PERFUMARIA;16/09/2018;11
3;QUEM DISSE BERENICE;3;MAQUIAGEM;07/03/2018;2
3;QUEM DISSE BERENICE;4;SOLAR;20/02/2018;17
2;EUDORA;1;CABELOS;23/11/2018;17
4;VULT;2;PERFUMARIA;01/12/2018;19
3;QUEM DISSE BERENICE;4;SOLAR;23/11/2018;16
1;BOTICÁRIO;3;MAQUIAGEM;02/01/2018;10
4;VULT;3;MAQUIAGEM;16/01/2018;16
4;VULT;1;CABELOS;13/12/2018;6
1;BOTICÁRIO;4;SOLAR;01/01/2018;19
4;VULT;4;SOLAR;10/03/2018;7
5;BELEZA NA WEB;5;HIDRATANTES;07/12/2018;1
3;QUEM DISSE BERENICE;1;CABELOS;27/10/2018;1
1;BOTICÁRIO;3;MAQUIAGEM;08/08/2018;2
2;EUDORA;5;HIDRATANTES;01/04/2018;3
1;BOTICÁRIO;2;PERFUMARIA;11/08/2018;6
4;VULT;1;CABELOS;30/07/2018;16
5;BELEZA NA WEB;4;SOLAR;02/09/2018;5
5;BELEZA NA WEB;2;PERFUMARIA;08/08/2018;16
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/03/2018;8
1;BOTICÁRIO;4;SOLAR;25/05/2018;18
3;QUEM DISSE BERENICE;2;PERFUMARIA;15/09/2018;7
1;BOTICÁRIO;5;HIDRATANTES;21/12/2018;1
4;VULT;2;PERFUMARIA;02/06/2018;19
1;BOTICÁRIO;2;PERFUMARIA;14/04/2018;10
4;VULT;3;MAQUIAGEM;03/10/2018;10
4;VULT;5;HIDRATANTES;01/12/2018;1
5;BELEZA NA WEB;3;MAQUIAGEM;15/03/2018;19
4;VULT;3;MAQUIAGEM;09/11/2018;6
1;BOTICÁRIO;5;HIDRATANTES;27/02/2018;7
3;QUEM DISSE BERENICE;4;SOLAR;11/09/2018;13
3;QUEM DISSE BERENICE;1;CABELOS;29/08/2018;7
1;BOTICÁRIO;2;PERFUMARIA;29/04/2018;16
2;EUDORA;4;SOLAR;21/05/2018;2
4;VULT;3;MAQUIAGEM;29/05/2018;3
2;EUDORA;1;CABELOS;08/11/2018;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;30/01/2018;14
5;BELEZA NA WEB;2;PERFUMARIA;31/10/2018;3
2;EUDORA;5;HIDRATANTES;06/08/2018;5
4;VULT;5;HIDRATANTES;07/09/2018;14
4;VULT;5;HIDRATANTES;29/04/2018;3
4;VULT;5;HIDRATANTES;01/12/2018;10
3;QUEM DISSE BERENICE;1;CABELOS;21/03/2018;19
4;VULT;1;CABELOS;01/10/2018;20
4;VULT;2;PERFUMARIA;22/07/2018;14
3;QUEM DISSE BERENICE;5;HIDRATANTES;23/08/2018;10
4;VULT;5;HIDRATANTES;04/09/2018;4
3;QUEM DISSE BERENICE;2;PERFUMARIA;04/11/2018;2
5;BELEZA NA WEB;3;MAQUIAGEM;23/08/2018;13
3;QUEM DISSE BERENICE;3;MAQUIAGEM;28/05/2018;18
4;VULT;3;MAQUIAGEM;07/01/2018;13
1;BOTICÁRIO;1;CABELOS;13/12/2018;15
1;BOTICÁRIO;3;MAQUIAGEM;02/08/2018;14
5;BELEZA NA WEB;5;HIDRATANTES;01/02/2018;2
1;BOTICÁRIO;1;CABELOS;25/01/2018;18
1;BOTICÁRIO;2;PERFUMARIA;19/01/2018;5
3;QUEM DISSE BERENICE;1;CABELOS;23/02/2018;19
1;BOTICÁRIO;2;PERFUMARIA;30/05/2018;16
2;EUDORA;3;MAQUIAGEM;22/02/2018;13
1;BOTICÁRIO;1;CABELOS;02/09/2018;13
4;VULT;2;PERFUMARIA;02/06/2018;10
3;QUEM DISSE BERENICE;3;MAQUIAGEM;12/12/2018;14
3;QUEM DISSE BERENICE;2;PERFUMARIA;07/07/2018;15
1;BOTICÁRIO;1;CABELOS;01/07/2018;15
5;BELEZA NA WEB;5;HIDRATANTES;15/07/2018;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;29/05/2018;12
1;BOTICÁRIO;5;HIDRATANTES;28/03/2018;18
2;EUDORA;3;MAQUIAGEM;21/02/2018;12
5;BELEZA NA WEB;3;MAQUIAGEM;15/06/2018;12
3;QUEM DISSE BERENICE;4;SOLAR;01/01/2018;7
3;QUEM DISSE BERENICE;3;MAQUIAGEM;09/01/2018;20
5;BELEZA NA WEB;4;SOLAR;30/10/2018;10
3;QUEM DISSE BERENICE;5;HIDRATANTES;18/03/2018;9
4;VULT;1;CABELOS;30/09/2018;11
1;BOTICÁRIO;2;PERFUMARIA;02/03/2018;7
4;VULT;1;CABELOS;17/04/2018;3
3;QUEM DISSE BERENICE;1;CABELOS;02/09/2018;16
2;EUDORA;2;PERFUMARIA;13/02/2018;15
1;BOTICÁRIO;5;HIDRATANTES;01/04/2018;3
4;VULT;3;MAQUIAGEM;06/01/2018;19
2;EUDORA;2;PERFUMARIA;17/01/2018;4
4;VULT;1;CABELOS;10/10/2018;9
1;BOTICÁRIO;5;HIDRATANTES;22/11/2018;12
3;QUEM DISSE BERENICE;1;CABELOS;04/04/2018;4
4;VULT;3;MAQUIAGEM;06/08/2018;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;04/12/2018;11
1;BOTICÁRIO;1;CABELOS;26/11/2018;13
2;EUDORA;5;HIDRATANTES;01/05/2018;10
4;VULT;3;MAQUIAGEM;07/03/2018;5
4;VULT;4;SOLAR;19/07/2018;16
1;BOTICÁRIO;5;HIDRATANTES;27/12/2018;15
5;BELEZA NA WEB;1;CABELOS;19/11/2018;14
1;BOTICÁRIO;2;PERFUMARIA;07/04/2018;19
1;BOTICÁRIO;5;HIDRATANTES;02/02/2018;1
2;EUDORA;4;SOLAR;23/09/2018;10
2;EUDORA;1;CABELOS;26/07/2018;9
1;BOTICÁRIO;3;MAQUIAGEM;10/08/2018;1
5;BELEZA NA WEB;4;SOLAR;04/06/2018;5
3;QUEM DISSE BERENICE;4;SOLAR;07/03/2018;15
4;VULT;3;MAQUIAGEM;15/07/2018;19
5;BELEZA NA WEB;4;SOLAR;25/05/2018;14
3;QUEM DISSE BERENICE;1;CABELOS;11/03/2018;3
5;BELEZA NA WEB;2;PERFUMARIA;08/01/2018;5
3;QUEM DISSE BERENICE;4;SOLAR;27/03/2018;13
3;QUEM DISSE BERENICE;5;HIDRATANTES;04/11/2018;7
3;QUEM DISSE BERENICE;1;CABELOS;14/06/2018;20
1;BOTICÁRIO;3;MAQUIAGEM;31/01/2018;17
4;VULT;2;PERFUMARIA;08/09/2018;18
5;BELEZA NA WEB;1;CABELOS;17/09/2018;5
3;QUEM DISSE BERENICE;5;HIDRATANTES;23/12/2018;10
5;BELEZA NA WEB;3;MAQUIAGEM;20/02/2018;13
4;VULT;4;SOLAR;07/06/2018;3
2;EUDORA;2;PERFUMARIA;18/12/2018;20
1;BOTICÁRIO;1;CABELOS;31/08/2018;10
4;VULT;1;CABELOS;04/10/2018;11
1;BOTICÁRIO;5;HIDRATANTES;12/04/2018;5
2;EUDORA;3;MAQUIAGEM;13/02/2018;16
2;EUDORA;5;HIDRATANTES;18/11/2018;19
5;BELEZA NA WEB;4;SOLAR;01/07/2018;13
4;VULT;2;PERFUMARIA;05/12/2018;11
5;BELEZA NA WEB;3;MAQUIAGEM;08/08/2018;16
5;BELEZA NA WEB;4;SOLAR;07/09/2018;5
3;QUEM DISSE BERENICE;4;SOLAR;17/10/2018;4
3;QUEM DISSE BERENICE;5;HIDRATANTES;29/06/2018;11
3;QUEM DISSE BERENICE;1;CABELOS;16/02/2018;11
4;VULT;2;PERFUMARIA;04/11/2018;6
2;EUDORA;4;SOLAR;01/11/2018;8
3;QUEM DISSE BERENICE;1;CABELOS;22/07/2018;9
4;VULT;5;HIDRATANTES;10/02/2018;9
1;BOTICÁRIO;4;SOLAR;21/04/2018;1
4;VULT;2;PERFUMARIA;30/07/2018;6
4;VULT;2;PERFUMARIA;28/07/2018;12
1;BOTICÁRIO;1;CABELOS;08/01/2018;13
2;EUDORA;1;CABELOS;06/06/2018;12
5;BELEZA NA WEB;3;MAQUIAGEM;03/08/2018;9
2;EUDORA;5;HIDRATANTES;18/05/2018;20
3;QUEM DISSE BERENICE;1;CABELOS;31/10/2018;17
4;VULT;5;HIDRATANTES;11/01/2018;14
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/10/2018;6
3;QUEM DISSE BERENICE;5;HIDRATANTES;24/10/2018;14
1;BOTICÁRIO;4;SOLAR;26/08/2018;2
3;QUEM DISSE BERENICE;4;SOLAR;18/05/2018;14
5;BELEZA NA WEB;3;MAQUIAGEM;25/04/2018;20
5;BELEZA NA WEB;4;SOLAR;05/01/2018;19
5;BELEZA NA WEB;4;SOLAR;31/07/2018;11
2;EUDORA;3;MAQUIAGEM;07/08/2018;2
2;EUDORA;2;PERFUMARIA;11/03/2018;15
3;QUEM DISSE BERENICE;4;SOLAR;31/12/2018;1
4;VULT;3;MAQUIAGEM;28/08/2018;16
5;BELEZA NA WEB;5;HIDRATANTES;03/09/2018;11
4;VULT;2;PERFUMARIA;27/11/2018;14
1;BOTICÁRIO;5;HIDRATANTES;07/02/2018;14
2;EUDORA;3;MAQUIAGEM;17/11/2018;5
1;BOTICÁRIO;2;PERFUMARIA;19/01/2018;14
4;VULT;3;MAQUIAGEM;13/09/2018;8
4;VULT;1;CABELOS;17/08/2018;2
3;QUEM DISSE BERENICE;1;CABELOS;10/10/2018;11
5;BELEZA NA WEB;4;SOLAR;27/04/2018;9
5;BELEZA NA WEB;2;PERFUMARIA;12/10/2018;2
2;EUDORA;5;HIDRATANTES;06/05/2018;18
5;BELEZA NA WEB;1;CABELOS;26/05/2018;6
2;EUDORA;1;CABELOS;31/07/2018;12
4;VULT;2;PERFUMARIA;15/12/2018;11
3;QUEM DISSE BERENICE;2;PERFUMARIA;19/01/2018;6
3;QUEM DISSE BERENICE;4;SOLAR;20/04/2018;15
2;EUDORA;3;MAQUIAGEM;24/03/2018;6
5;BELEZA NA WEB;2;PERFUMARIA;26/11/2018;4
2;EUDORA;1;CABELOS;15/07/2018;12
4;VULT;1;CABELOS;17/09/2018;17
3;QUEM DISSE BERENICE;3;MAQUIAGEM;06/09/2018;17
5;BELEZA NA WEB;1;CABELOS;12/07/2018;16
3;QUEM DISSE BERENICE;2;PERFUMARIA;28/09/2018;7
4;VULT;3;MAQUIAGEM;03/07/2018;13
5;BELEZA NA WEB;2;PERFUMARIA;28/10/2018;13
1;BOTICÁRIO;2;PERFUMARIA;31/12/2018;11
1;BOTICÁRIO;5;HIDRATANTES;01/02/2018;7
2;EUDORA;3;MAQUIAGEM;28/02/2018;7
5;BELEZA NA WEB;1;CABELOS;30/04/2018;13
4;VULT;1;CABELOS;09/12/2018;16
2;EUDORA;4;SOLAR;13/10/2018;2
5;BELEZA NA WEB;3;MAQUIAGEM;13/10/2018;9
2;EUDORA;3;MAQUIAGEM;22/05/2018;20
1;BOTICÁRIO;1;CABELOS;21/10/2018;2
5;BELEZA NA WEB;2;PERFUMARIA;27/11/2018;1
1;BOTICÁRIO;5;HIDRATANTES;03/09/2018;3
2;EUDORA;5;HIDRATANTES;17/02/2018;1
1;BOTICÁRIO;3;MAQUIAGEM;21/10/2018;12
5;BELEZA NA WEB;3;MAQUIAGEM;24/07/2018;18
3;QUEM DISSE BERENICE;2;PERFUMARIA;03/02/2018;1
1;BOTICÁRIO;2;PERFUMARIA;13/01/2018;16
1;BOTICÁRIO;4;SOLAR;02/07/2018;13
2;EUDORA;4;SOLAR;02/12/2018;2
3;QUEM DISSE BERENICE;1;CABELOS;25/01/2018;4
5;BELEZA NA WEB;3;MAQUIAGEM;21/02/2018;17
1;BOTICÁRIO;1;CABELOS;12/07/2018;7
5;BELEZA NA WEB;3;MAQUIAGEM;01/03/2018;19
1;BOTICÁRIO;4;SOLAR;25/06/2018;8
3;QUEM DISSE BERENICE;4;SOLAR;24/08/2018;16
4;VULT;1;CABELOS;25/06/2018;12
2;EUDORA;4;SOLAR;12/09/2018;1
1;BOTICÁRIO;3;MAQUIAGEM;24/07/2018;17
5;BELEZA NA WEB;4;SOLAR;18/07/2018;20
5;BELEZA NA WEB;2;PERFUMARIA;01/07/2018;19
4;VULT;4;SOLAR;03/08/2018;1
4;VULT;1;CABELOS;09/01/2018;2
5;BELEZA NA WEB;4;SOLAR;02/07/2018;13
3;QUEM DISSE BERENICE;5;HIDRATANTES;14/09/2018;15
2;EUDORA;1;CABELOS;23/02/2018;12
5;BELEZA NA WEB;2;PERFUMARIA;01/05/2018;17
1;BOTICÁRIO;2;PERFUMARIA;27/09/2018;19
1;BOTICÁRIO;4;SOLAR;13/10/2018;20
5;BELEZA NA WEB;3;MAQUIAGEM;17/05/2018;2
4;VULT;5;HIDRATANTES;22/01/2018;16
2;EUDORA;2;PERFUMARIA;13/10/2018;17
3;QUEM DISSE BERENICE;3;MAQUIAGEM;17/09/2018;1
2;EUDORA;2;PERFUMARIA;25/05/2018;13
3;QUEM DISSE BERENICE;2;PERFUMARIA;01/08/2018;10
2;EUDORA;1;CABELOS;17/09/2018;13
1;BOTICÁRIO;5;HIDRATANTES;18/08/2018;10
5;BELEZA NA WEB;2;PERFUMARIA;06/12/2018;7
4;VULT;1;CABELOS;10/08/2018;17
2;EUDORA;5;HIDRATANTES;13/11/2018;19
3;QUEM DISSE BERENICE;1;CABELOS;16/07/2018;3
1;BOTICÁRIO;5;HIDRATANTES;10/02/2018;3
5;BELEZA NA WEB;3;MAQUIAGEM;02/09/2018;15
1;BOTICÁRIO;3;MAQUIAGEM;06/04/2018;13
1;BOTICÁRIO;3;MAQUIAGEM;16/04/2018;20
5;BELEZA NA WEB;4;SOLAR;24/12/2018;9
4;VULT;2;PERFUMARIA;22/06/2018;3
1;BOTICÁRIO;3;MAQUIAGEM;04/05/2018;12
2;EUDORA;2;PERFUMARIA;27/11/2018;10
5;BELEZA NA WEB;3;MAQUIAGEM;14/07/2018;10
1;BOTICÁRIO;3;MAQUIAGEM;12/12/2018;17
2;EUDORA;1;CABELOS;05/11/2018;14
4;VULT;4;SOLAR;03/01/2018;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;14/09/2018;11
2;EUDORA;4;SOLAR;13/06/2018;6
2;EUDORA;1;CABELOS;27/09/2018;5
4;VULT;2;PERFUMARIA;28/11/2018;7
5;BELEZA NA WEB;4;SOLAR;16/08/2018;4
5;BELEZA NA WEB;2;PERFUMARIA;01/10/2018;10
4;VULT;4;SOLAR;12/03/2018;6
3;QUEM DISSE BERENICE;4;SOLAR;06/05/2018;10
1;BOTICÁRIO;3;MAQUIAGEM;18/01/2018;11
4;VULT;1;CABELOS;20/08/2018;18
1;BOTICÁRIO;3;MAQUIAGEM;12/06/2018;14
2;EUDORA;3;MAQUIAGEM;13/08/2018;12
1;BOTICÁRIO;4;SOLAR;19/05/2018;19
2;EUDORA;2;PERFUMARIA;25/10/2018;4
4;VULT;2;PERFUMARIA;09/02/2018;9
3;QUEM DISSE BERENICE;5;HIDRATANTES;03/06/2018;1
2;EUDORA;4;SOLAR;29/11/2018;17
5;BELEZA NA WEB;3;MAQUIAGEM;21/04/2018;1
5;BELEZA NA WEB;5;HIDRATANTES;06/12/2018;14
3;QUEM DISSE BERENICE;5;HIDRATANTES;23/12/2018;19
1;BOTICÁRIO;2;PERFUMARIA;25/11/2018;10
4;VULT;4;SOLAR;20/08/2018;13
3;QUEM DISSE BERENICE;4;SOLAR;29/08/2018;3
2;EUDORA;5;HIDRATANTES;27/06/2018;10
1;BOTICÁRIO;1;CABELOS;25/12/2018;6
4;VULT;1;CABELOS;04/08/2018;9
4;VULT;1;CABELOS;20/06/2018;17
5;BELEZA NA WEB;2;PERFUMARIA;19/11/2018;10
1;BOTICÁRIO;3;MAQUIAGEM;23/06/2018;4
5;BELEZA NA WEB;2;PERFUMARIA;22/09/2018;6
5;BELEZA NA WEB;4;SOLAR;28/06/2018;14
3;QUEM DISSE BERENICE;4;SOLAR;15/07/2018;6
4;VULT;5;HIDRATANTES;08/01/2018;11
5;BELEZA NA WEB;4;SOLAR;08/11/2018;6
2;EUDORA;3;MAQUIAGEM;07/04/2018;19
